req_id,chapter_id,chapter_name,section_id,section_name,req_description,L,status,reasoning,evidence
V1.2.1,V1,Encoding and Sanitization,V1.2,Injection Prevention,"Verify that output encoding for an HTTP response, HTML document, or XML document is relevant for the context required, such as encoding the relevant characters for HTML elements, HTML attributes, HTML comments, CSS, or HTTP header fields, to avoid changing the message or document structure.",1,COMPLIANT,Handlebars template engine is used throughout with auto-escaping enabled by default. No raw triple-brace {{{ }}} unescaped output found in any template file.,src/views/user-profile.hbs:12 — `{{user.name}}` | src/views/admin/dashboard.hbs:45 — `{{item.title}}` | src/app.js:31 — `engine('hbs' handlebars.engine({ ... }))`
V1.2.4,V1,Encoding and Sanitization,V1.2,Injection Prevention,"Verify that data selection or database queries (e.g., SQL, HQL, NoSQL, Cypher) use parameterized queries, ORMs, entity frameworks, or are otherwise protected from SQL Injection and other database injection attacks. This is also relevant when writing stored procedures.",1,COMPLIANT,Sequelize ORM is used for all database operations. No raw SQL string concatenation found. All findOne/findAll calls use where-clause objects.,src/models/User.js:23 — `User.findOne({ where: { email } })` | src/models/Order.js:67 — `Order.findAll({ where: { userId: req.user.id } })` | package.json:18 — `"sequelize": "^6.35.0"`
V1.2.5,V1,Encoding and Sanitization,V1.2,Injection Prevention,Verify that the application protects against OS command injection and that operating system calls use parameterized OS queries or use contextual command line output encoding.,1,NON_COMPLIANT,User-controlled filename is interpolated directly into a shell command string passed to exec(). No sanitization or parameterization applied.,src/routes/reports.js:89 — `exec('convert ' + req.query.filename + ' output.pdf')` | src/routes/reports.js:84 — `const filename = req.query.filename` — no validation before use
V1.3.2,V1,Encoding and Sanitization,V1.3,Sanitization,"Verify that the application avoids the use of eval() or other dynamic code execution features such as Spring Expression Language (SpEL). Where there is no alternative, any user input being included must be sanitized before being executed.",1,NON_COMPLIANT,eval() is called with a user-supplied expression string with no sanitization. The formula evaluator in the pricing engine accepts arbitrary JavaScript expressions from the request body.,src/utils/calculator.js:34 — `return eval(req.body.formula)` | src/utils/calculator.js:28 — `const formula = req.body.formula` — passed directly without sanitization
V2.1.1,V2,Validation and Business Logic,V2.1,Validation and Business Logic Documentation,"Verify that the application's documentation defines input validation rules for how to check the validity of data items against an expected structure. This could be common data formats such as credit card numbers, email addresses, telephone numbers, or it could be an internal data format.",1,NON_COMPLIANT,No dedicated security documentation defining input validation rules was found. README.md contains setup instructions only. Joi schema definitions exist in code but no documentation of the validation contract.,src/validators/userValidator.js — Joi schemas present in code but not documented | No docs/security.md or equivalent found in repository root
V5.2.1,V5,File Handling,V5.2,File Upload and Content,"Verify that the application will only accept files of a size which it can process without causing a loss of performance or a denial of service attack.",1,COMPLIANT,Multer is configured with a 10MB file size limit on all upload endpoints. Exceeding this returns HTTP 413 before the file is written to disk.,src/middleware/upload.js:15 — `limits: { fileSize: 10 * 1024 * 1024 }` | src/routes/documents.js:22 — `router.post('/upload' upload.single('file') ...)` — upload middleware applied
V5.2.2,V5,File Handling,V5.2,File Upload and Content,"Verify that when the application accepts a file, either on its own or within an archive such as a zip file, it checks if the file extension matches an expected file extension and validates that the contents correspond to the type represented by the extension. This includes, but is not limited to, checking the initial 'magic bytes', performing image re-writing, and using specialized libraries for file content validation. For L1, this can focus just on files which are used to make specific business or security decisions. For L2 and up, this must apply to all files being accepted.",1,NON_COMPLIANT,Only the file extension is checked against an allowlist. No magic byte validation or content verification is performed. An attacker can upload a PHP shell renamed to .jpg.,src/middleware/upload.js:22 — `if (!['jpg','png','pdf'].includes(ext)) reject()` | src/middleware/upload.js — no file-type or magic-bytes library imported | package.json — no 'file-type' or 'mmmagic' dependency present
V5.2.3,V5,File Handling,V5.2,File Upload and Content,"Verify that the application checks compressed files (e.g., zip, gz, docx, odt) against maximum allowed uncompressed size and against maximum number of files before uncompressing the file.",2,NOT_RELEVANT,The application accepts PDF and image uploads only. No compressed archive formats (zip/gz/docx/odt) are accepted or processed anywhere in the codebase.,src/middleware/upload.js:22 — allowedExtensions: ['jpg','png','pdf'] — no zip/gz/docx in list
V6.1.1,V6,Authentication,V6.1,Authentication Documentation,"Verify that application documentation defines how controls such as rate limiting, anti-automation, and adaptive response, are used to defend against attacks such as credential stuffing and password brute force. The documentation must make clear how these controls are configured and prevent malicious account lockout.",1,COMPLIANT,docs/security.md describes the rate limiting strategy: 5 failed login attempts per 15-minute window triggers a temporary lockout. express-rate-limit is referenced with configuration values documented.,docs/security.md:12 — "Login endpoint rate limited to 5 attempts per 15 minutes using express-rate-limit. Account not locked to prevent DoS; IP is throttled instead."
V6.2.1,V6,Authentication,V6.2,Password Security,Verify that user set passwords are at least 8 characters in length although a minimum of 15 characters is strongly recommended.,1,COMPLIANT,Minimum password length of 12 characters is enforced in the Joi schema used for both registration and password change.,src/validators/authValidator.js:8 — `password: Joi.string().min(12).required()`
